Player,Pos,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,FG%,3P%,2P%,eFG%,FT%
Alex Abrines,SG,0.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,0.393,0.381,0.426,0.531,0.898
Quincy Acy,PF,0.353,3.9,18,11,4.9,1.2,2,9.7,16.8,0.412,0.411,0.413,0.521,0.75
Steven Adams,C,0.392,13,15.5,14.2,5.4,1.8,2.6,16,16.2,0.571,0,0.572,0.571,0.611
Arron Afflalo,SG,0.221,0.7,8.4,4.6,7.4,0.7,0.4,8.4,14.4,0.44,0.411,0.457,0.514,0.892
Alexis Ajinca,C,0.225,8.3,23.8,16,3.1,1.7,3.1,13.7,17.2,0.5,0,0.511,0.5,0.725
Cole Aldrich,C,0.256,11,23.9,17.4,6.4,2.4,3.7,15.1,9.4,0.523,,0.523,0.523,0.682
LaMarcus Aldridge,PF,0.258,8.6,16.6,12.7,9.9,1,3.1,7.7,24.5,0.477,0.411,0.48,0.488,0.812
Lavoy Allen,PF,0.196,13.7,14.6,14.2,9.1,1,2.4,13.7,10.9,0.458,0,0.461,0.458,0.697
Tony Allen,SG,0.218,9.6,13.8,11.7,8.4,3.1,1.4,13.3,17.9,0.461,0.278,0.479,0.473,0.615
Al-Farouq Aminu,SF,0.292,4.8,23.5,14.1,7.9,1.7,2,15.2,15.4,0.393,0.33,0.445,0.468,0.706
Chris Andersen,C,0.636,9,20.6,15,5.9,2.2,5,15.1,13,0.409,0,0.474,0.409,0.714
Alan Anderson,SF,0.2,1.1,7.4,4.4,4.9,0.5,0,7.4,13.7,0.375,0.318,0.444,0.463,0.75
Justin Anderson,SF,0.294,6.2,16.9,11.3,8.8,1.7,1.6,11.7,20.9,0.424,0.299,0.522,0.49,0.791
Kyle Anderson,SG,0.273,3.7,19,11.5,12.4,2.5,2.1,14.3,12.1,0.445,0.375,0.462,0.481,0.789
Ryan Anderson,PF,0.194,5.8,11.2,8.5,4.7,0.7,0.5,6.2,17.9,0.418,0.403,0.446,0.55,0.86
Giannis Antetokounmpo,SF,0.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,0.521,0.272,0.563,0.541,0.77
Carmelo Anthony,SF,0.263,2.6,15.9,9.3,14.5,1.2,1.1,9,29.1,0.433,0.359,0.466,0.488,0.833
Joel Anthony,C,0.5,7.6,20.9,14.4,3.4,0.8,4,17,8.7,0.625,,0.625,0.625,0.625
